"Reference","Qty","Description","Value","Footprint","DNP"
"R108","1","RG3216P-1001-D-T5","1k","Resistor_SMD:R_1206_3216Metric",""
"R109","1","ERA-8AEB301V","300","Resistor_SMD:R_1206_3216Metric",""
"R110","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R111","1","CRCW12062R20FKEAHP","2.2","Resistor_SMD:R_1206_3216Metric",""
"R112","1","RG3216P-1301-D-T5","1.3k","Resistor_SMD:R_1206_3216Metric",""
"R113","1","RG3216P-4701-D-T5","4.7k","Resistor_SMD:R_1206_3216Metric",""
"R114","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R115","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R116","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R117","1","RG3216P-4701-D-T5","4.7k","Resistor_SMD:R_1206_3216Metric",""
"R118","1","CRCW12062R20FKEAHP","2.2","Resistor_SMD:R_1206_3216Metric",""
"R119","1","RG3216P-1301-D-T5","1.3k","Resistor_SMD:R_1206_3216Metric",""
"R120","1","ERA-8AEB153V","15k","Resistor_SMD:R_1206_3216Metric",""
"R121","1","RG3216P-2402-D-T5","24k","Resistor_SMD:R_1206_3216Metric",""
"R122","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R123","1","RG3216P-1000-D-T5","100","Resistor_SMD:R_1206_3216Metric",""
"R124","1","RG3216P-1002-D-T5","10k","Resistor_SMD:R_1206_3216Metric",""
"R125","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R126","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R127","1","RG3216P-1202-D-T5","12k","Resistor_SMD:R_1206_3216Metric",""
"R128","1","RG3216P-1202-D-T5","12k","Resistor_SMD:R_1206_3216Metric",""
"R129","1","RG3216P-2201-D-T5","2.2k","Resistor_SMD:R_1206_3216Metric",""
"R130","1","ERA-8AEB153V","15k","Resistor_SMD:R_1206_3216Metric",""
